15/2/2021 7:41:02 pm,s2,104.84
15/2/2021 7:41:07 pm,s1,99.95
15/2/2021 7:41:11 pm,s2,104.84
15/2/2021 7:41:15 pm,s1,98.97
15/2/2021 7:41:19 pm,s2,104.84
15/2/2021 7:41:23 pm,s1,99.95
15/2/2021 7:41:27 pm,s2,104.84
15/2/2021 7:41:31 pm,s1,100.93
15/2/2021 7:41:36 pm,s2,104.84
15/2/2021 7:41:40 pm,s1,100.93
15/2/2021 7:41:44 pm,s2,106.79
15/2/2021 7:41:48 pm,s1,99.95
15/2/2021 7:41:52 pm,s2,105.82
15/2/2021 7:41:56 pm,s1,99.95
15/2/2021 7:42:00 pm,s2,103.86
15/2/2021 7:42:05 pm,s1,99.95
15/2/2021 7:42:09 pm,s2,104.84
15/2/2021 7:42:13 pm,s1,99.95
15/2/2021 7:42:17 pm,s2,104.84
15/2/2021 7:42:21 pm,s1,98.97
15/2/2021 7:42:25 pm,s2,104.84
15/2/2021 7:42:29 pm,s1,99.95
15/2/2021 7:42:33 pm,s2,105.82
15/2/2021 7:42:38 pm,s1,99.95
15/2/2021 7:42:42 pm,s2,104.84
15/2/2021 7:42:46 pm,s1,100.93
15/2/2021 7:42:50 pm,s2,106.79
15/2/2021 7:42:54 pm,s1,98.97
15/2/2021 7:42:58 pm,s2,104.84
15/2/2021 7:43:03 pm,s1,99.95
15/2/2021 7:43:07 pm,s2,104.84
15/2/2021 7:43:11 pm,s1,102.88
15/2/2021 7:43:15 pm,s2,107.77
15/2/2021 7:43:19 pm,s1,100.93
15/2/2021 7:43:23 pm,s2,105.82
15/2/2021 7:43:27 pm,s1,100.93
15/2/2021 7:43:31 pm,s2,105.82
15/2/2021 7:43:36 pm,s1,102.88
15/2/2021 7:43:40 pm,s2,109.73
15/2/2021 7:43:44 pm,s1,99.95
15/2/2021 7:43:48 pm,s2,104.84
15/2/2021 7:43:52 pm,s1,100.93
15/2/2021 7:43:56 pm,s2,108.75
15/2/2021 7:44:00 pm,s1,101.91
15/2/2021 7:44:05 pm,s2,107.77
15/2/2021 7:44:09 pm,s1,102.88
15/2/2021 7:44:13 pm,s2,109.73
15/2/2021 7:44:17 pm,s1,100.93
15/2/2021 7:44:21 pm,s2,105.82
15/2/2021 7:44:53 pm,s2,106.79
15/2/2021 7:44:57 pm,s1,99.95
15/2/2021 7:45:01 pm,s2,103.86
15/2/2021 7:45:05 pm,s1,98
15/2/2021 7:45:10 pm,s2,101.91
15/2/2021 7:45:14 pm,s1,98.97
15/2/2021 7:45:18 pm,s2,103.86
15/2/2021 7:45:22 pm,s1,102.88
15/2/2021 7:45:26 pm,s2,108.75
15/2/2021 7:45:30 pm,s1,100.93
15/2/2021 7:45:34 pm,s2,103.86
15/2/2021 7:45:38 pm,s1,100.93
15/2/2021 7:45:43 pm,s2,106.79
